Login,Ticket,Symbol,Type,Lots,Open Price,Close Price,S/L,T/P,SL Hit,TP Hit,Open Time,Close Time,Profit
60001,700001,US30,sell,0.2,1353.72,1340.18,1380.79,1326.65,1,0,2026-06-01 09:00:00,2026-06-01 11:22:00,-38.37
60001,700002,BTCUSD,sell,0.11,1011.21,1001.1,1031.43,990.99,1,0,2026-06-02 09:00:00,2026-06-02 12:29:00,-35.62
60001,700003,US30,sell,0.19,1738.73,1756.12,1773.5,1703.96,0,1,2026-06-03 10:00:00,2026-06-03 18:24:00,154.28
60001,700004,US30,sell,0.24,1527.22,1511.95,1557.76,1496.68,1,0,2026-06-04 10:00:00,2026-06-04 19:40:00,-39.33
60001,700005,EURUSD,sell,0.44,87.86,88.74,89.62,86.1,0,1,2026-06-05 12:00:00,2026-06-05 20:23:00,156.6
60001,700006,USDJPY,buy,0.32,1771.02,1788.73,1735.6,1806.44,0,1,2026-06-06 09:00:00,2026-06-06 15:46:00,192.7
60001,700007,US30,buy,0.12,1970.46,1990.16,1931.05,2009.87,0,1,2026-06-07 10:00:00,2026-06-07 13:58:00,96.46
60001,700008,EURUSD,sell,0.21,326.15,322.89,332.67,319.63,1,0,2026-06-08 15:00:00,2026-06-08 19:36:00,-68.14
60001,700009,XAUUSD,buy,0.34,490.38,495.28,480.57,500.19,0,1,2026-06-09 14:00:00,2026-06-09 21:43:00,87.38
60001,700010,US30,buy,0.37,112.82,113.95,110.56,115.08,0,1,2026-06-10 11:00:00,2026-06-10 19:07:00,194.86
60001,700011,XAUUSD,sell,0.21,1134.79,1123.44,1157.49,1112.09,1,0,2026-06-11 15:00:00,2026-06-12 00:32:00,-42.66
60001,700012,US30,sell,0.26,286.6,283.73,292.33,280.87,1,0,2026-06-12 10:00:00,2026-06-12 15:24:00,-84.87
60001,700013,BTCUSD,sell,0.4,799.4,807.39,815.39,783.41,0,1,2026-06-13 14:00:00,2026-06-13 20:28:00,128.55
60001,700014,BTCUSD,sell,0.14,306.53,309.6,312.66,300.4,0,1,2026-06-14 10:00:00,2026-06-14 12:26:00,67.54
60001,700015,USDJPY,buy,0.25,1058.7,1069.29,1037.53,1079.87,0,1,2026-06-15 14:00:00,2026-06-15 19:29:00,155.34
60001,700016,EURUSD,buy,0.37,1537.43,1522.06,1506.68,1568.18,1,0,2026-06-16 15:00:00,2026-06-16 18:46:00,-62.22
60001,700017,USDJPY,buy,0.28,1439.64,1454.04,1410.85,1468.43,0,1,2026-06-17 11:00:00,2026-06-17 19:58:00,212.61
60001,700018,GBPUSD,buy,0.45,1015.82,1005.66,995.5,1036.14,1,0,2026-06-18 15:00:00,2026-06-18 21:57:00,-47.91
60001,700019,GBPUSD,buy,0.34,1858.27,1876.85,1821.1,1895.44,0,1,2026-06-19 11:00:00,2026-06-19 13:27:00,138.18
60001,700020,XAUUSD,buy,0.12,158.44,156.86,155.27,161.61,1,0,2026-06-20 15:00:00,2026-06-21 00:34:00,-82.68
60002,700021,EURUSD,buy,0.16,1055.82,1045.26,0,1076.94,0,0,2026-06-01 15:00:00,2026-06-01 18:15:00,-186.54
60002,700022,BTCUSD,buy,0.46,876.76,867.99,0,894.3,0,0,2026-06-02 10:00:00,2026-06-02 14:11:00,-175.86
60002,700023,GBPUSD,buy,0.13,441.21,436.8,0,450.03,0,0,2026-06-03 09:00:00,2026-06-03 15:01:00,-122.94
60002,700024,EURUSD,buy,0.13,476.77,481.54,0,486.31,0,1,2026-06-04 14:00:00,2026-06-04 19:23:00,42.51
60002,700025,BTCUSD,buy,0.46,1569.45,1553.76,0,1600.84,0,0,2026-06-05 10:00:00,2026-06-05 13:04:00,-243.53
60002,700026,EURUSD,buy,0.43,1347.06,1333.59,0,1374.0,0,0,2026-06-06 10:00:00,2026-06-06 11:27:00,-169.6
